Mst. ID,Messstellen Name,Jahr,Bundesland,Flussgebiet,Seehöhe
110791,Jauken,2017,Kärnten,Draugebiet,925
102491,Jenbach,2017,Tirol,Inngebiet oberhalb der Salzach,530
102079,Jerzens-Ritzenried,2017,Tirol,Inngebiet oberhalb der Salzach,1120
102830,Jochberg,2017,Tirol,Inngebiet oberhalb der Salzach,950
105882,Johannestal,2017,Tirol,Donaugebiet oberhalb des Inn,1308
111716,Judenburg,2017,Steiermark,Murgebiet,730
104919,Julbach,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,565
101493,Jungholz,2017,Tirol,Donaugebiet oberhalb des Inn,1060
112789,Jägerwirt,2017,Steiermark,Murgebiet,1300
115170,Jöchlspitze,2017,Tirol,Donaugebiet oberhalb des Inn,1697
103382,Telfs-Zimmerbergklamm,2017,Tirol,Inngebiet oberhalb der Salzach,967
101840,Kaiserbergtal,2017,Tirol,Inngebiet oberhalb der Salzach,2330
109835,Kaiserbrunn,2017,Niederösterreich,Leithagebiet,523
101147,Kaisers,2017,Tirol,Donaugebiet oberhalb des Inn,1380
113076,Kals am Großglockner,2017,Tirol,Draugebiet,1336
119842,Kalser Tauernhaus,2017,Tirol,Draugebiet,1800
111823,Kalwang,2017,Steiermark,Murgebiet,742
113571,Kanzelhöhe,2017,Kärnten,Draugebiet,1520
101097,Kapfenberg,2017,Steiermark,Murgebiet,508
119792,Kappl-Oberbichl,2017,Tirol,Inngebiet oberhalb der Salzach,1490
103507,Kaprun,2017,Salzburg,Salzachgebiet,750
104190,Karbachalm (Talstation),2017,Salzburg,Salzachgebiet,925
102905,Kössen,2017,Tirol,Inngebiet oberhalb der Salzach,590
115162,Kötschach-Mauthen,2017,Kärnten,Draugebiet,722
103010,Kühtai,2017,Tirol,Inngebiet oberhalb der Salzach,1917
109439,Laa an der Thaya,2017,Niederösterreich,Marchgebiet,184
106880,Laab,2017,Oberösterreich,Donaugebiet zwischen Enns und March,240
115550,Laab im Walde,2017,Niederösterreich,Donaugebiet zwischen Enns und March,318
105338,Laakirchen,2017,Oberösterreich,Traungebiet,440
107011,Lackenhof,2017,Niederösterreich,Donaugebiet zwischen Enns und March,807
101816,Ladis-Neuegg,2017,Tirol,Inngebiet oberhalb der Salzach,1426
105171,Lahn-Hallstatt,2017,Oberösterreich,Traungebiet,510
101642,Lahnsattel,2017,Niederösterreich,Murgebiet,932
