Mst. ID,Messstellen Name,Jahr,Bundesland,Flussgebiet,Seehöhe
110833,Gleisdorf,2014,Steiermark,Raabgebiet,375.0
114371,Glocknerhaus,2014,Kärnten,Draugebiet,2140.0
101782,Glockturm,2014,Tirol,Inngebiet oberhalb der Salzach,2800.0
109868,Gloggnitz,2014,Niederösterreich,Leithagebiet,509.0
105718,Gmunden-Traundorf,2014,Oberösterreich,Traungebiet,456.0
105320,Gmunden,2014,Oberösterreich,Traungebiet,426.0
109215,Gmünd,2014,Niederösterreich,Moldaugebiet,498.0
114579,Goldeck,2014,Kärnten,Draugebiet,1882.0
104745,Goldwörth,2014,Oberösterreich,Donaugebiet zwischen Inn und Traun,260.0
103820,Golling-Torren,2014,Salzburg,Salzachgebiet,473.0
106229,Gollrad-Wegscheid,2014,Steiermark,Ennsgebiet,850.0
100891,Golm-Grüneck,2014,Vorarlberg,Rheingebiet,1919.0
119735,Golzentipp-Gudis,2014,Tirol,Draugebiet,2170.0
105197,Gosau,2014,Oberösterreich,Traungebiet,765.0
119669,Gossenkölle,2014,Tirol,Inngebiet oberhalb der Salzach,2500.0
108647,Grabenegg,2014,Niederösterreich,Donaugebiet zwischen Enns und March,274.0
114587,Grades-Klachl,2014,Kärnten,Draugebiet,734.0
102566,Gradlaste,2014,Tirol,Inngebiet oberhalb der Salzach,1060.0
107565,Grafenschlag,2014,Niederösterreich,Donaugebiet zwischen Enns und March,787.0
107698,Grafenwörth,2014,Niederösterreich,Donaugebiet zwischen Enns und March,190.0
101360,Gramai NL,2014,Tirol,Donaugebiet oberhalb des Inn,1330.0
101162,Gramais,2014,Tirol,Donaugebiet oberhalb des Inn,1320.0
112078,Gratkorn,2014,Steiermark,Murgebiet,392.0
112102,Graz (Flugplatz),2014,Steiermark,Murgebiet,340.0
112094,Graz (Universität),2014,Steiermark,Murgebiet,366.0
112086,Graz-Andritz,2014,Steiermark,Murgebiet,361.0
101063,Graz-Gries,2014,Steiermark,Murgebiet,350.0
113126,Greifenburg,2014,Kärnten,Draugebiet,615.0
106963,Grein,2014,Oberösterreich,Donaugebiet zwischen Enns und March,270.0
106641,Greith,2014,Steiermark,Ennsgebiet,945.0
109041,Gresten,2014,Niederösterreich,Donaugebiet zwischen Enns und March,398.0
111294,Fehring,2014,Steiermark,Raabgebiet,260.0
109173,Feichtenbach,2014,Niederösterreich,Donaugebiet zwischen Enns und March,493.0
113738,Feistritz an der Gail,2014,Kärnten,Draugebiet,561.0
114900,Felbertauerntunnel-Süd,2014,Tirol,Draugebiet,1637.0
100008,Feldbach,2014,Steiermark,Raabgebiet,323.0
100396,Feldkirch-Gisingen,2014,Vorarlberg,Rheingebiet,440.0
101808,Fendels,2014,Tirol,Inngebiet oberhalb der Salzach,1343.0
113845,Ferlach,2014,Kärnten,Draugebiet,459.0
123216,Festenburg-Hinterberg,2014,Steiermark,Raabgebiet,920.0
105296,Feuerkogel,2014,Oberösterreich,Traungebiet,1618.0
100677,Feuerstätter Sättele,2014,Vorarlberg,Rheingebiet,1413.0
103135,Fieberbrunn,2014,Tirol,Inngebiet oberhalb der Salzach,850.0
105940,Filzmoos,2014,Salzburg,Ennsgebiet,1050.0
119222,Finstertal-Gametzköpfl,2014,Tirol,Inngebiet oberhalb der Salzach,2470.0
101592,Fischbach,2014,Steiermark,Raabgebiet,1050.0
105908,Flachau,2014,Salzburg,Ennsgebiet,910.0
115782,Flachberg,2014,Niederösterreich,Donaugebiet zwischen Enns und March,179.0
111401,Fladnitzberg,2014,Steiermark,Raabgebiet,1070.0
113951,Flattnitz,2014,Kärnten,Murgebiet,1430.0
101519,Flirsch,2014,Tirol,Inngebiet oberhalb der Salzach,1204.0
101923,Fluchthornferner,2014,Tirol,Inngebiet oberhalb der Salzach,2750.0
100354,Fontanella,2014,Vorarlberg,Rheingebiet,1167.0
101212,Forchach,2014,Tirol,Donaugebiet oberhalb des Inn,910.0
110403,Forchtenstein,2014,Burgenland,Rabnitzgebiet,397.0
108175,Forsthaus Lobau,2014,Wien,Donaugebiet zwischen Enns und March,156.0
